"name","approx_cost(for two people)","online_order","book_table","rest_type","listed_in(type)","listed_in(city)","dish_liked","cuisines","rate"
"Shaadi Ki Biryani",500,1,0,"Casual Dining","Delivery","Residency Road","Mutton Biryani, Brinjal Curry, Chicken Biryani, Kheer, Hyderabadi Biryani, Raita, Kebab Platter","Biryani","3"
"Desi Vdesi",250,1,0,"Quick Bites","Delivery","Residency Road","Rolls, Burgers, Sandwiches, Nachos, Sweet Lassi, Fries, Methi Paratha","Fast Food, North Indian, Rolls","4"
"XO Belgian Waffle",450,1,0,"Food Court","Delivery","Residency Road","Belgian Waffles, Bubble Gum Shake, Hot Chocolate, Salted Caramel, Nutella Waffle","Desserts, Beverages","5"
"Rahhams",700,1,0,"Casual Dining","Delivery","Residency Road","Mutton Biryani, Shawarma, Mutton Chops, Pahadi Kebab, Chicken Kebab, Mango Shake, Rolls","Mughlai, North Indian, Chinese","3"
"Glen's Bakehouse",600,1,0,"Bakery, Cafe","Delivery","Residency Road","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts","4"
"Hotel Fanoos",400,1,0,"Quick Bites","Delivery","Residency Road","Rolls, Shawarma, Chicken Shawarama, Beef Shwarma, Haleem, Beef Seekh Roll, Chicken Roll","Arabian, Biryani, Rolls, Kebab","4"
"Thai House",700,1,0,"Casual Dining","Delivery","Residency Road","Tom Yum Soup, Fish, Salad","Thai","4"
"Pind Balluchi",700,0,1,"Casual Dining","Delivery","Residency Road","Palak Paneer, Mango Lassi, Panner Tikka, Veg Platter, Dal Makhani, Chicken Rara, Malai Tikka","North Indian, Mughlai, Kebab","4"
"Shezan",600,1,0,"Casual Dining","Delivery","Residency Road","Butter Naan, Mudpie, Mutton Biryani, Chicken Tikka, Kulfi, Steak, Sweet Corn Soup","Chinese, Continental, North Indian, Mughlai, Steak","4"
"Kanti Sweets",400,1,0,"Sweet Shop, Quick Bites","Delivery","Residency Road","Chaat, Sandwiches, Rasmalai","Mithai, Street Food","4"
"Sagar Delicacy",500,1,0,"Casual Dining","Delivery","Residency Road","Handi Biryani, Sandwich","North Indian, Chinese, Fast Food, Street Food","4"
"Mad Over Donuts",450,1,0,"Food Court","Delivery","Residency Road","Donut","Bakery, Desserts, Beverages","4"
"Green Onion",550,0,0,"Casual Dining","Delivery","Residency Road","Noodles, Coriander Soup, Chicken Lollipop, Honey Potato, Momos, Schezwan Fried Rice, Chicken Drumstick","Chinese","4"
"Cream Chemistry",500,1,0,"Dessert Parlor","Delivery","Residency Road","Rolls, Ice Cream Roll","Ice Cream, Desserts","4"
"Tree Top",1000,1,0,"Casual Dining","Delivery","Residency Road","Friendly Staff","Continental, Chinese, North Indian, South Indian","4"
"Firewood Biryani",400,1,0,"Quick Bites","Delivery","Residency Road","Rice Kheer, Hariyali Chicken, Chicken Kebab, Chicken Biryani, Firewood Biryani, Mutton Biryani, Badam Phirni","Biryani, Kebab, Rolls","4"
"Chung Wah",1000,1,0,"Casual Dining","Delivery","Residency Road","Jasmine Tea, Spring Roll, Golden Fried Prawns, Momos, Hakka Noodles, Hunan Chicken Gravy, Drunken Chicken Wings","Chinese, Thai, Momos, Vietnamese","4"
"Marzipan Cafe & Bakery",700,1,0,"Cafe, Bakery","Delivery","Residency Road","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Hot Chocolate, Wedges","Cafe, Mediterranean, Bakery, Greek, Beverages","4"
"Donne Biriyani Mane",400,1,0,"Quick Bites","Delivery","Residency Road","Donne Biryani, Mutton Biryani","Biryani, Kebab","3"
"The Egg Factory",750,1,0,"Casual Dining","Delivery","Residency Road","Omelette, French Toast, Bun Masala, Pasta, Egg Pav Bhaji, Fajitas, Paneer Wrap","Continental, American","4"
"Steaming Mugs",700,1,0,"Cafe","Delivery","Residency Road","Fries, Oreo Shake, Pasta Arrabiata","Cafe","4"
"Art of Delight",400,0,0,"Dessert Parlor","Delivery","Residency Road","Waffles, Chocolate Sundae, Mango Ice Cream, Nutella Cheesecake, Salsa, Banana Split, Hot Chocolate Fudge","Ice Cream, Desserts, Beverages","4"
"Kamat Minerva",300,1,0,"Quick Bites","Delivery","Residency Road","Butter Naan, Buttermilk, Jowar Roti, Panneer Butter Masala","South Indian, North Indian, Chinese","3"
"Green Theory",800,1,1,"Casual Dining, Cafe","Delivery","Residency Road","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza","4"
"The Rice Bowl",1300,1,1,"Casual Dining, Bar","Delivery","Residency Road","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken","Chinese, Momos","4"
"Bheema's",650,1,0,"Casual Dining","Delivery","Residency Road","Thali, Mutton Biryani, Mutton Fry, Chilli Chicken, Chicken Biryani, Andhra Meal, Vegetable Biryani","Andhra","4"
"The Waffle Press",400,1,0,"Dessert Parlor","Delivery","Residency Road","Waffles, Liege Waffle, Salted Caramel Ice Cream, Ice Cream Sandwiches, Ice Cream Sandwich","Desserts, Ice Cream","4"
"Dolci Desserts",750,1,0,"Cafe, Dessert Parlor","Delivery","Residency Road","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts","4"
"Church Street Social",1500,1,0,"Lounge","Delivery","Residency Road","Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog","American, North Indian, Chinese, Finger Food, Momos","4"
"Haji Ali Juice Centre",350,1,0,"Quick Bites, Beverage Shop","Delivery","Residency Road","Sandwiches, Rose Faluda, Pizza, Custard Apple Cream, Pav Bhaji","Fast Food, Pizza, Rolls, Beverages, Juices","4"
"Panchavati Gaurav Thali",800,0,1,"Casual Dining","Delivery","Residency Road","Veg Thali, Dahi Vada, Malpua, Rajasthani Thali, Rabri, Buttermilk, Jalebi","Rajasthani, Gujarati","4"
"Infinitea Tea Room & Tea Store",1000,1,1,"Casual Dining, Cafe","Delivery","Residency Road","Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos","4"
"Mahesh Lunch Home",1400,1,1,"Casual Dining","Delivery","Residency Road","Sea Food, Neer Dosa, Crab Ghee Roast, Jumbo Prawns, Thali, Crab Butter, Crab Masala","Seafood, Mangalorean, North Indian, Chinese","4"
"Sweet Chariot",500,1,0,"Dessert Parlor","Delivery","Residency Road","Chicken Lasagne, Chocolate Cake, Mushroom Quiche, Sandwiches, Pizza, Steak","Bakery, Fast Food","4"
"Vinny's",800,1,0,"Casual Dining","Delivery","Residency Road","Pizza, Pasta, Mozzarella Sticks, Mocktails, Tiramisu, Fries, Salad","Pizza, Italian, Continental, Desserts","4"
"McDonald's",500,1,0,"Quick Bites","Delivery","Residency Road","Burgers, Mc Spicy Chicken, Chicken Burger, Maharaja Mac","Burger, Fast Food","4"
"Ente Keralam",1300,1,0,"Casual Dining","Delivery","Residency Road","Appam, Fish, Mutton Stew, Cocktails, Egg Roast, Prawn Curry, Chicken Stew","Kerala, Seafood","4"
"Mangalore pearl - Seafood Restaurant",700,1,0,"Casual Dining","Delivery","Residency Road","Sea Food, Neer Dosa, Fish, Caramel Pudding, Curry Crab, Bombil Fry, Masala Prawn","Mangalorean, Seafood","4"
"Naachiyar's",600,1,0,"Casual Dining","Delivery","Residency Road","Crab Soup, Raita, Kozhi Biryani, Mutton Biryani","Chettinad","4"
"Oye Amritsar",600,1,1,"Casual Dining","Delivery","Residency Road","Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan","North Indian","4"
"3 Spice",450,1,0,"Casual Dining","Delivery","Residency Road","Manchow Soup, Shawarma, Momos, Hyderabadi Biryani, Vegetarian, Noodles, Dragon Chicken","North Indian, Chinese","4"
"Bangalore Masala House",500,1,0,"Cafe","Delivery","Residency Road","Peri Peri Chicken, Shikanji, Peri Peri Pizza, Steak, Bun Maskas, Pasta, Burgers","Cafe, Continental, Fast Food, Pizza, Italian, Burger, Chinese, Desserts","4"
"Feast India Co.",1500,1,0,"Casual Dining","Delivery","Residency Road","Naan, Sheermal, Phirni, Rasmalai, Chicken Tikka, Paneer Tikka, Galauti Kebab","Awadhi, Bengali, North Indian","4"
"Imperial Restaurant",800,1,0,"Casual Dining","Delivery","Residency Road","Ghee Rice, Biryani, Brain Pepper Fry, Chicken Kebab, Chicken Grill, Grape Juice, Kerala Parotta","North Indian, Chinese, Mughlai, Seafood","4"
"Pabrai's Fresh & Naturelle Icecreams",180,1,0,"Dessert Parlor","Delivery","Residency Road","Apple Pie, Mascarpone Cheese, Nolen Gurer Ice Cream, Paan Ice Cream, Nolen Gur, Gur Ice Cream, Salted Caramel","Ice Cream","4"
"Tandoor",2100,1,1,"Fine Dining","Delivery","Residency Road","Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails","North Indian","4"
"A2B - Adyar Ananda Bhavan",400,1,0,"Casual Dining","Delivery","Residency Road","Coffee, Roti, Pongal, Idli, Ghee Masala Dosa, Thali, Chaat","South Indian, North Indian, Chinese, Street Food, Fast Food","4"
"Amande Patisserie",300,1,0,"Bakery, Dessert Parlor","Delivery","Residency Road","Macaroon, Fruit Tart, Opera Cake, Belgian Dark Chocolate, Orange Tart, Eclair, Chocolate Mousse","Bakery, French, Desserts","4"
"Airlines Hotel",400,1,0,"Quick Bites","Delivery","Residency Road","Masala Dosa, Chole, Filter Coffee, Tea, Vada, Idli, Upma","South Indian, North Indian, Street Food","4"
"Banjara Melting Pot",1700,1,1,"Casual Dining","Delivery","Residency Road","Lamb Curry, Cocktails, Neer Dosa, Veg Starter, Prawn Ghee Roast, Chicken Biryani, Mocktails","North Indian, Chinese, Seafood","4"
"Hotel Chandrika",400,1,0,"Casual Dining","Delivery","Residency Road","Thali, Filter Coffee, Vada, Rava Idli, Masala Dosa, Stuffed Kulcha, Naan","South Indian, North Indian, Chinese, Street Food","4"
"Sreeraj Lassi Bar",150,1,0,"Beverage Shop","Delivery","Residency Road","Fruit Lassi, Sweet Lassi, Kulfi, Banana Split","Beverages, Desserts, Juices","4"
"The Only Place",1000,1,1,"Casual Dining","Delivery","Residency Road","Steak, Burgers, Meatballs, Apple Pie, Salads, Bruschettas, Chicken Sizzler","Italian, American, Steak, Continental, BBQ, Salad","4"
"Shiro",3000,1,1,"Fine Dining, Lounge","Delivery","Residency Road","Sushi, Dumplings, Sea Food, Chocolate Volcano, Lamb, Sunday Brunch, Chicken Yakitori","Japanese, Asian","4"
"Dindigul Thalappakatti",800,1,0,"Casual Dining","Delivery","Residency Road","Biryani, Fish, Pepper Chicken","Biryani, Chinese, North Indian, South Indian",NA
"Sri Udupi Park",200,1,0,"Quick Bites","Delivery","Residency Road","Vada, Idli, Kharabath, Noodles, Filter Coffee","South Indian, Chinese","4"
"MISU",1700,1,1,"Casual Dining, Bar","Delivery","Residency Road","Sushi, Dumplings, Khau Suey, Noodles, Cocktails, Virgin Mojito, Drunken Beef","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean","5"
"Aromas Of South",1000,0,0,"Casual Dining","Delivery","Residency Road","Appam, Coffee","South Indian","4"
"Hatti Kaapi",200,1,0,"Quick Bites","Delivery","Residency Road","Filter Coffee, Vada","South Indian, Beverages","4"
"Foodhall",1000,1,0,"Casual Dining","Delivery","Residency Road","Pasta, Salads, Sandwich, Coffee, Tea, Sandwiches","Italian, Bakery, Fast Food","4"
"Mummy Dhaba",300,1,0,"Quick Bites","Delivery","Residency Road","Dal Makhani","North Indian","3"
"Pizza Stop",600,1,0,"Quick Bites","Delivery","Residency Road","Nachos, Pasta Del Barone, Cheesy Garlic Bread, Thin Crust Pizza, Oreo Milkshake, Tortilla Chips, Manali Pizza","Pizza, Italian","4"
"Desi Deck",1300,1,1,"Casual Dining, Bar","Delivery","Residency Road","Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts","4"
"Teppan Japanese Grill & Sushi Bar",2000,1,0,"Casual Dining","Delivery","Residency Road","Sushi, Maki Roll, Jumbo Prawns, Fish, Rolls, Sashimi, Miso Soup","Japanese","4"
"Hoppipola",1300,0,0,"Lounge","Delivery","Residency Road","Masala Peanuts, Cocktails, Pasta, Paratha, Pizza, Burgers, Brownie","Continental, Mediterranean, European","4"
"Kabab Korner",650,1,0,"Casual Dining","Delivery","Residency Road","Rolls, Chilli Chicken, Biryani, Seekh Kebab, Naan, Rumali Roti, Burgers","North Indian, Chinese, Fast Food","4"
"Ayda Persian Kitchen",950,1,0,"Casual Dining","Delivery","Residency Road","Roti, Naan, Butter Chicken, Biryani, Saffron Rice, Mutton Kebab, Lassi","North Indian, Iranian","4"
"Kanteen 038",200,1,0,"Quick Bites","Delivery","Residency Road","Chai, Maggi, English Breakfast","Tea, Beverages, Fast Food","4"
"99 Pancakes",300,1,0,"Dessert Parlor","Delivery","Residency Road","Nutella Pancakes","Desserts, Ice Cream","4"
"Zaks Mediterranean Cuisine",700,0,0,"Casual Dining","Delivery","Residency Road","Biryani, Shawarma, Kunafa, Pita Bread, Fattoush Salad","Mediterranean, Arabian, Lebanese","4"
"Pashto",800,0,0,"Casual Dining","Delivery","Residency Road","Biryani, Peshawari Paneer, Dal Tadka, Veg Pulao, Yakhni Shorba, Phirni, Murgh Peshawari","North Indian, Mughlai, Afghan","4"
"Tewari Bros Mithai Shoppie",300,1,0,"Sweet Shop","Delivery","Residency Road","Dhokla, Raj Kachori, Rabri","Fast Food, Mithai","4"
"Pai Vihar",400,0,0,"Quick Bites","Delivery","Residency Road","Masala Dosa, Coffee","South Indian, Street Food, Chinese, Fast Food","3"
"Chung's Chinese Corner",600,1,0,"Casual Dining","Delivery","Residency Road","Noodles, Honey Chilli Chicken, Crispy Chilli Chicken","Chinese, Asian, American, Seafood","3"
"Drunken Monkey",500,0,0,"Beverage Shop, Quick Bites","Delivery","Residency Road","Sandwiches, Chicken Sandwich, Oreo Shake, Irish Coffee Cream","Beverages, Fast Food","4"
"The Open Box",1400,1,1,"Casual Dining, Bar","Delivery","Residency Road","Cocktails, Mocktails, Pizza, Butter Chicken Burger, Paan Ice Cream, Margarita, Sangria","European, North Indian, Mediterranean, Asian, Salad","4"
"Khan Saheb Grills and Rolls",400,1,0,"Quick Bites","Delivery","Residency Road","Rolls, Mutton Seekh Roll, Malai Tikka, Chicken Tikka Roll, Mutton Baida Roti, Reshmi Tikka Roll, Beda Roti","Fast Food, Rolls","4"
"Red Lantern",700,1,0,"Casual Dining","Delivery","Residency Road","Noodles, Phad Thai, Sweet Corn Soup, Chop Suey","Chinese, Thai","4"
"Ibaco",300,1,0,"Dessert Parlor","Delivery","Residency Road","Icecream Cake","Desserts, Ice Cream","4"
"WAFL Cafe",400,1,0,"Dessert Parlor, Quick Bites","Delivery","Residency Road","Waffles, Pie, Corn Dog","Desserts, Beverages, American","4"
"Shyvan Restaurant",500,1,0,"Casual Dining","Delivery","Residency Road","Mutton Biryani, Noodles, Butter Chicken, Naan, Panneer Butter Masala","North Indian, Chinese","4"
"7 Plates",600,1,0,"Quick Bites","Delivery","Residency Road","Rolls, Biryani, Butter Chicken, Chicken Manchurian Roll","North Indian, Mughlai, Rolls, Fast Food","4"
"Taipan",700,1,0,"Casual Dining","Delivery","Residency Road","Noodles, Dragon Chicken, Chop Suey","Chinese, Momos","4"
"Munchies",250,1,0,"Quick Bites, Bakery","Delivery","Residency Road","Burgers, Sandwiches, Momos, Chicken Seekh Roll, Sandwich","Fast Food, Bakery","4"
"Dev Sagar - Food Street",200,1,0,"Quick Bites","Delivery","Residency Road","Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua","Street Food","4"
"Ujwal Restaurant",700,1,0,"Casual Dining","Delivery","Residency Road","Tender Coconut Chicken, Sea Food, Paneer Pakora, Chicken Biryani, Kori Roti, Fish Fry, Beer","Mangalorean, Seafood, North Indian, Chinese","4"
"Kitchen On Table",1500,1,0,"Casual Dining","Delivery","Residency Road","Sea Food, Sushi","Japanese, Sushi, Asian","4"
"Mudpipe Cafe",750,1,0,"Cafe","Delivery","Residency Road","Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger","4"
"Qissa Khawani",800,1,0,"Casual Dining","Delivery","Residency Road","Lassi, Paratha, Chicken Tikka, Mutton Pulao, Dal Makhani, Garlic Naan, Kheer","North Indian, Mughlai","4"
"Smoor",900,1,0,"Dessert Parlor","Delivery","Residency Road","Cup Cake, Pasta, Sandwich, Fries","Desserts","4"
"Cafe Mor'ish",700,1,0,"Cafe","Delivery","Residency Road","Coffee, Pizza, Pasta, Burgers, Tomato Soup, Eggs Benedict, Brownie Fudge","BBQ, Continental, Burger, Wraps, Pizza, Cafe","4"
"NoLimmits Lounge and Club",2000,1,1,"Club","Delivery","Residency Road","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Cocktails, Popcorn","Chinese, Continental, North Indian","4"
"Toscano",1500,1,1,"Casual Dining","Delivery","Residency Road","Pizza, Pasta, Pepperoni, Wine, Salads, Chicken Bruschetta, Tiramisu","Italian, Salad","4"
"Kobe Sizzlers",1500,1,0,"Casual Dining","Delivery","Residency Road","Sizzler Brownie, Steak, Potato Mash, Caramel Custard, Pasta, Spicy Chicken Sizzler, Spaghetti","American, Continental, Fast Food, Steak","4"
"Wolf'ish",700,1,0,"Cafe","Delivery","Residency Road","Burgers, Peri Peri Chicken, Fries, Mojito, Bbq Chicken Pizza, Mozzarella Sticks, Pasta","Cafe, American, Italian, Pizza, Burger","4"
"Amber Rush Restobar",1000,0,1,"Pub","Delivery","Residency Road","Cocktails, Pizza, Fries, Wings, Mango Phirni, Fish Grill","Continental, Chinese, Fast Food","4"
"In Wok",500,1,0,"Casual Dining","Delivery","Residency Road","Chicken Lollipop, Crispy Spinach Chicken","Chinese","4"
"The Chariot",350,1,0,"Quick Bites","Delivery","Residency Road","Masala Dosa, Panneer Butter Masala, Thali","South Indian, North Indian, Chinese","3"
"Fat Buddha",1000,1,1,"Casual Dining","Delivery","Residency Road","Crab Soup, Noodles, Wine, Spicy Crabmeat Soup, Manchow Soup, Momos, Sea Food","Chinese, Thai","4"
"Carnival de Goa",1000,1,1,"Casual Dining, Bar","Delivery","Residency Road","Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza","4"
"20 Feet High",1000,1,1,"Casual Dining, Bar","Delivery","Residency Road","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak","American, Continental, Steak, Salad","4"
"ZOROY Luxury Chocolate",250,1,0,"Dessert Parlor","Delivery","Residency Road","Hot Chocolate","Desserts","4"
"Lazio Steaks & More",1000,1,0,"Casual Dining","Delivery","Residency Road","Burgers, Beef Steak, Mutton Biryani, Pie, Mudpie, Cheesecake, Chicken Wings","Continental, Chinese, Steak","4"
"Cobaja",700,1,1,"Casual Dining","Delivery","Residency Road","Cocktails, Badam Milk, Mutton Liver Fry, Neer Dosa, Paan Mojito, Veg Thali, Mocktails","Seafood, South Indian, Bar Food, Mangalorean, Konkan","4"
"RockSalt",1900,1,1,"Bar, Casual Dining","Delivery","Residency Road","Roti, Cocktails, Chicken Biryani, Paratha, Dahi Ke Kabab, Jalebi, Chicken Tikka","Modern Indian","4"
"Petoo",800,0,0,"Casual Dining","Delivery","Residency Road","Biryani","North Indian, Fast Food, Street Food","4"
"Samskruti - Sanman Gardenia",550,1,0,"Casual Dining","Delivery","Residency Road","Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka","North Indian, Chinese, South Indian","4"
"The Tao Terraces",2100,1,1,"Casual Dining","Delivery","Residency Road","Salads, Cocktails, Khao Suey, Laksa, Jumbo Prawns, Veg Sushi, Espresso Martini","Thai, Japanese, Korean, Burmese, Chinese","4"
"C Sharp Kitchen",600,1,0,"Casual Dining","Delivery","Residency Road","Paratha, Tea, Pasta, Omelette, Rolls","North Indian, Chinese, European","4"
"Ta'aam",750,0,0,"Casual Dining","Delivery","Residency Road","Laham Mandi, Mutton Chops, Biryani, Mutton Soup, Naan, Paneer Tikka, Jeera Rice","North Indian, Mughlai, Arabian, Chinese","4"
"Anupam's Coast II Coast",1400,1,1,"Casual Dining","Delivery","Residency Road","Murgh Ghee Roast, Sea Food, Neer Dosa, Fish, Prawn Ghee Roast, Appam, Ghee Roast Paneer","Seafood, Mangalorean, North Indian, Chinese","4"
"Nossa Goa",1000,1,1,"Casual Dining","Delivery","Residency Road","Breakfast Platter, Roast Chicken, Sea Food, Calamari, Waffles, Chorizo Pav, Prawn","Goan, Seafood, Konkan, Desserts","4"
"Kudla - Hotel Ramanashree",1200,1,1,"Casual Dining","Delivery","Residency Road","Neer Dosa, Fish, Murgh Ghee Roast, Appam, Chicken Sukha, Crab Masala, Chicken Biryani","South Indian, Andhra, Chinese","4"
"Step Right Up",300,1,0,"Cafe","Delivery","Residency Road","Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries","Cafe, Italian","4"
"The Belgian Waffle Co.",350,1,0,"Dessert Parlor","Delivery","Residency Road","Waffles","Desserts, Beverages","4"
"Brownie Heaven",300,1,0,"Dessert Parlor","Delivery","Residency Road","Filter Coffee, Triple Chocolate, Brownie Chocolate, Vanilla Ice Cream, Brownie Shake, Tiramisu, Chocolate Shake","Desserts, Fast Food","4"
"Le Rock",2000,1,0,"Bar","Delivery","Residency Road","Cocktails, Pizza, Murgh Platter, Draught Beer, Veg Platter, Chicken Wings, Fries","Continental, Chinese","4"
"GMT - Gelateria Montecatini Terme",300,1,0,"Quick Bites","Delivery","Residency Road","Irish Coffee, Gelato Ice Cream, Italian Icecream, Chocolate Cake","Desserts, Ice Cream","4"
"Happy Belly Bakes",500,1,0,"Cafe, Bakery","Delivery","Residency Road","Hot Chocolate, Waffles, Chicken Pizza, Brownie, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery","4"
"The J",400,1,0,"Quick Bites","Delivery","Residency Road","Fried Cheese, French Fries, Maggi, Thick Shakes, Chilli Cheese Fries, Tea","Fast Food, Beverages","4"
"The Grill House",1200,1,1,"Casual Dining, Bar","Delivery","Residency Road","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak","4"
"BLOW",750,1,1,"Cafe","Delivery","Residency Road","Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger","4"
"The Coffee Bean & Tea Leaf",700,1,0,"Cafe","Delivery","Residency Road","Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake","Cafe","4"
"The Souk",800,1,0,"Cafe","Delivery","Residency Road","Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak","Cafe, Mediterranean, Italian, Pizza, Continental","4"
"Ging - Royal Orchid Central",2000,1,1,"Bar, Casual Dining","Delivery","Residency Road","Paneer Satay, Beer, Creme Brulee, Crispy Prawns","Asian","4"
"ASEAN - On The Edge",1800,1,1,"Casual Dining","Delivery","Residency Road","Cocktails, Khao Suey, Mocktails, Salad, Beer, Malacca Curry, Sangria","Asian, Thai","5"
"The Konkan - Seafood Restaurant",850,1,1,"Casual Dining","Delivery","Residency Road","Sea Food, Murgh Ghee Roast, Mocktails, Stuffed Pomfret, Sol Kadhi, Kokum Juice, Coconut Rice","Seafood, Konkan, Mangalorean","4"
"Ebony",1500,1,1,"Casual Dining","Delivery","Residency Road","Appam, Khao Suey, Chicken Biryani, Kebab Platter, Rabri, Prawn, Pad Thai","North Indian, South Indian","4"
"Mountain Spice",200,1,0,"Quick Bites","Delivery","Residency Road","Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa","Chinese","4"
"Driven Cafe",600,1,0,"Cafe","Delivery","Residency Road","Coffee, Fries, Cappuccino, Margherita Pizza","Cafe, Beverages, Fast Food","4"
"Japan Travel Cafe Azuki",400,0,0,"Cafe","Delivery","Residency Road","Miso Soup, Tempura","Cafe, Japanese","4"
"OCEA HOTEL",800,1,0,"Casual Dining","Delivery","Residency Road","Sea Food, Fish, Murgh Ghee Roast, Crabmeat Soup, Jeera Rice, Prawn, Chicken Grill","North Indian, Chinese, Seafood","4"
"Just Shawarma",300,1,0,"Quick Bites","Delivery","Residency Road","Rolls, Whole Meat Shawarma","Arabian","4"
"Cafe Cerrise",600,0,0,"Cafe","Delivery","Residency Road","Bannoffee Pie, Pasta, Sandwiches, Salsa, Sandwich, Salads, Pita Bread","Cafe, Continental, Salad","4"
"Benjarong",1800,1,0,"Casual Dining","Delivery","Residency Road","Tom Yum Soup, Cocktails, Jasmine Rice, Clear Soup, Sea Food, Pad Thai, Lemongrass Tea","Thai, Asian","4"
"Ramana's",850,1,1,"Casual Dining","Delivery","Residency Road","Palak Soup, Mushroom Masala, Dal Makhani, Kebab Platter, Jal-jeera, Mushroom Soup, Roti","North Indian, Chinese, Healthy Food","4"
"Zodiac - Fortune Select JP Cosmos Hotel",1800,1,1,"Casual Dining","Delivery","Residency Road","Salads, Biryani, Chicken Salad, Lunch Buffet, Breakfast Buffet, Fish, Panipuri","North Indian, South Indian, Chinese, Continental","4"
"Xian",800,1,1,"Casual Dining","Delivery","Residency Road","Noodles","Chinese, Thai","4"
"Stir Fry",500,0,0,"Casual Dining","Delivery","Residency Road","Spring Roll, Chicken Lollipop, Chaap, Momos, Lamb, Chicken Manchow Soup, Hakka Noodles","Chinese, Momos","4"
"Mamma Mexicana",1000,1,1,"Casual Dining","Delivery","Residency Road","Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos","Mexican","2"
"New Prashanth Hotel",750,1,0,"Casual Dining","Delivery","Residency Road","Biryani, Ragi Mudde, Chicken Curry","South Indian, Biryani, Chinese, North Indian","4"
"Parika Multicuisine Restaurant",1200,1,1,"Casual Dining","Delivery","Residency Road","Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri","North Indian, Chinese, Mughlai","4"
"Fatso's",650,1,0,"Cafe","Delivery","Residency Road","Sandwich, Garlic Bread, Brownie, Potato Wedges, French Fries","Cafe, American, Italian, Burger","4"
"The Bundle Co.",700,1,0,"Quick Bites","Delivery","Residency Road","Burgers, Salad, Mocktails, Pasta Arrabiata, Fries, Nutella Cheesecake, Teriyaki Chicken Wings","Burger, Continental, Italian, Beverages","4"
"Urban Solace - for the Soul",800,1,0,"Cafe, Casual Dining","Delivery","Residency Road","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish","Cafe, American, Continental, Steak","4"
"Rescafe",100,0,0,"Quick Bites","Delivery","Residency Road","Samosa, Tea","Beverages","4"
"Bon Sante",800,0,0,"Cafe","Delivery","Residency Road","Burgers, Sandwiches, Fries, Pasta, Tea, Chicken Curry, Fried Rice","Cafe, Continental, Italian","4"
"The Charcoal Factory",600,1,0,"Quick Bites","Delivery","Residency Road","Burgers, Cheesy Pizza, Chips, Fries, Rice Bowl, White Sauce Pasta, Chicken Wings","Burger, Pizza, Momos","4"
"Hotel Tom's Restaurant",1000,1,1,"Casual Dining","Delivery","Residency Road","Appam, Sea Food, Fry Prawns, Dal Fry, Fish, Chicken Curry, Murgh Ghee Roast","Mangalorean, Seafood, Chinese, North Indian","4"
